index,dengue_total,surface_temperature_change,CO2_emissions,Tree_covered_areas,solar_electricity_use
BRAZIL_1991,104586.0,0.49200000000000005,NaN,NaN,NaN
BRAZIL_1992,1658.0,0.435,NaN,470206.6405,NaN
BRAZIL_1993,7388.0,0.525,NaN,467962.3248,NaN
BRAZIL_1994,56609.0,0.623,NaN,467966.0004,NaN
BRAZIL_1995,137422.0,0.8079999999999999,233.217,463578.3448,NaN
BRAZIL_1996,183831.0,0.53,251.72,461485.81700000004,NaN
BRAZIL_1997,254109.0,0.738,269.03700000000003,459665.936,NaN
BRAZIL_1998,535388.0,1.2670000000000001,277.242,456943.3258,NaN
BRAZIL_1999,209740.0,0.5660000000000001,286.968,453109.1774,NaN
BRAZIL_2000,239929.0,0.5379999999999999,299.723,452703.3849,NaN
BRAZIL_2001,413067.0,0.802,306.487,451528.6674,NaN
BRAZIL_2002,780644.0,1.082,306.615,450573.7489,NaN
BRAZIL_2003,341902.0,0.983,301.875,449074.3881,NaN
BRAZIL_2004,112928.0,0.8240000000000001,319.243,438908.55600000004,NaN
BRAZIL_2005,203789.0,1.158,320.82599999999996,438734.857,NaN
BRAZIL_2006,346550.0,0.831,324.676,438463.5567,NaN
BRAZIL_2007,559954.0,0.981,340.699,438516.1776,NaN
BRAZIL_2008,561659.0,0.731,361.048,438359.8632,NaN
BRAZIL_2009,528883.0,0.946,336.415,438302.6914,NaN
BRAZIL_2010,1004392.0,1.1340000000000001,383.875,438296.6229,NaN
BRAZIL_2011,764032.0,0.833,402.241,437900.2984,NaN
BRAZIL_2012,581840.0,1.067,434.4,437841.6177,1.8130000000000002
BRAZIL_2013,1478215.0,0.963,465.8,437685.13,5.087
BRAZIL_2014,586774.0,1.205,490.06800000000004,437834.1283,16.662
BRAZIL_2015,1695323.0,1.61,466.968,437835.82,64.477
BRAZIL_2016,2220482.0,1.544,430.25699999999995,438325.6531,88.081
BRAZIL_2017,512827.0,1.432,442.654,438503.4581000001,836.814
BRAZIL_2018,470269.0,1.179,418.759,438651.4687,3471.739
BRAZIL_2019,2253883.0,1.54,NaN,439106.226,6664.991
